Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,35021,BANKNIFTY 24 APR 2025 PE 64600.00,2025-04-24,PE,64600,BANKNIFTY 24 APR 2025 PE 64600.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 PE 64600.00_20250424_PE_64600,XX
N,D,35022,BANKNIFTY 29 MAY 2025 PE 33600.00,2025-05-29,PE,33600,BANKNIFTY 29 MAY 2025 PE 33600.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 29 MAY 2025 PE 33600.00_20250529_PE_33600,XX
N,D,35023,FINNIFTY 27 MAR 2025 CE 15600.00,2025-03-27,CE,15600,FINNIFTY 27 MAR 2025 CE 15600.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025 CE 15600.00_20250327_CE_15600,XX
N,D,35024,FINNIFTY 27 MAR 2025 PE 15600.00,2025-03-27,PE,15600,FINNIFTY 27 MAR 2025 PE 15600.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025 PE 15600.00_20250327_PE_15600,XX
N,D,35025,ABFRL 27 MAR 2025,2025-03-27,XX,0,ABFRL 27 MAR 2025,0.01,2600,78000,1,ABFRL,N,INE647O01011,ABFRL 27 MAR 2025_20250327,XX
N,D,35026,BANKNIFTY 27 MAR 2025 CE 60300.00,2025-03-27,CE,60300,BANKNIFTY 27 MAR 2025 CE 60300.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 MAR 2025 CE 60300.00_20250327_CE_60300,XX
N,D,35027,FINNIFTY 27 MAR 2025 CE 19350.00,2025-03-27,CE,19350,FINNIFTY 27 MAR 2025 CE 19350.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025 CE 19350.00_20250327_CE_19350,XX
N,D,35028,BANKNIFTY 27 MAR 2025 PE 60300.00,2025-03-27,PE,60300,BANKNIFTY 27 MAR 2025 PE 60300.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 MAR 2025 PE 60300.00_20250327_PE_60300,XX
N,D,35029,BANKNIFTY 27 MAR 2025 CE 74000.00,2025-03-27,CE,74000,BANKNIFTY 27 MAR 2025 CE 74000.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 MAR 2025 CE 74000.00_20250327_CE_74000,XX
N,D,35030,BANKNIFTY 27 MAR 2025 PE 74000.00,2025-03-27,PE,74000,BANKNIFTY 27 MAR 2025 PE 74000.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 MAR 2025 PE 74000.00_20250327_PE_74000,XX
